A	B	DA	DB	R
8000	10000	0	365	0
35	10000	0	7	1
3500	10000	0	21	0
25	100	0	7	0
250	10000	0	7	1
10	500	0	7	1
2500	10000	0	7	1
175	1000	0	7	1
4000	10000	0	14	0
250	1000	0	7	1
375	1000	0	7	1
500	1000	0	60	0
3500	10000	0	7	1
4000	10000	0	7	1
4500	10000	0	14	1
375	1000	0	14	1
4500	10000	0	1825	0
4500	10000	0	30	0
5500	10000	0	7	1
500	1000	0	21	0
3500	10000	0	21	0
3500	10000	0	14	0
5000	10000	0	7	0
2000	10000	0	30	0
375	1000	0	21	1
550	1000	0	30	1
500	1000	0	60	0
650	1000	0	21	0
400	1000	0	21	0
4500	10000	0	7	0
500	1000	0	14	0
850	10000	0	60	0
200	500	0	30	0
300	10000	0	180	1
475	1000	0	14	0
425	1000	0	14	0
550	1000	0	7	0
500	1000	0	7	0
475	1000	0	7	0
350	1000	0	7	1
450	1000	0	7	1
