A	B	DA	DB	R	ID	PA	PB
8000	10000	0	365	1	1	1	1
950	1000	0	1825	0	1	1	1
9500	10000	0	1825	0	1	1	1
50	100	0	90	1	1	1	1
5000	10000	0	1825	1	1	1	1
350	500	0	1825	1	1	1	1
9000	10000	0	1825	1	1	1	1
900	1000	0	1825	0	1	1	1
55	100	0	1825	1	1	1	1
85	100	0	1825	0	1	1	1
80	100	0	1825	0	1	1	1
75	100	0	1825	0	1	1	1
70	100	0	1825	0	1	1	1
7500	10000	0	1825	1	1	1	1
8500	10000	0	1825	1	1	1	1
9500	10000	0	1825	0	1	1	1
550	1000	0	1825	1	1	1	1
750	1000	0	1825	1	1	1	1
9000	10000	0	1825	1	1	1	1
475	500	0	1825	0	1	1	1
85	100	0	7	1	1	1	1
85	100	0	365	0	1	1	1
20	100	0	1825	1	1	1	1
35	100	0	1825	1	1	1	1
60	100	0	1825	1	1	1	1
850	1000	0	1825	1	1	1	1
900	1000	0	1825	1	1	1	1
9500	10000	0	1825	0	1	1	1
400	500	0	1825	1	1	1	1
425	500	0	1825	1	1	1	1
950	1000	0	1825	0	1	1	1
450	500	0	1825	1	1	1	1
475	500	0	1825	0	1	1	1
9000	10000	0	1825	1	1	1	1
80	100	0	1825	1	1	1	1
95	100	0	1825	0	1	1	1
90	100	0	1825	0	1	1	1
850	1000	0	1825	1	1	1	1
900	1000	0	1825	1	1	1	1
375	500	0	1825	1	1	1	1
400	500	0	1825	1	1	1	1
9000	10000	0	365	0	2	1	1
375	10000	0	7	1	2	1	1
45	100	0	7	1	2	1	1
6000	10000	0	30	1	2	1	1
45	100	0	180	0	2	1	1
225	500	0	365	1	2	1	1
6000	10000	0	1825	0	2	1	1
250	500	0	365	1	2	1	1
6000	10000	0	365	1	2	1	1
450	1000	0	1825	0	2	1	1
600	1000	0	730	1	2	1	1
550	1000	0	1825	0	2	1	1
3500	10000	0	1825	1	2	1	1
5000	10000	0	1825	1	2	1	1
5500	10000	0	1825	1	2	1	1
550	1000	0	730	1	2	1	1
8000	10000	0	730	1	2	1	1
8000	10000	0	1825	0	2	1	1
6500	10000	0	1825	1	2	1	1
8500	10000	0	1825	0	2	1	1
7000	10000	0	1825	1	2	1	1
7500	10000	0	1825	1	2	1	1
400	1000	0	1825	0	2	1	1
9000	10000	0	730	1	2	1	1
225	500	0	730	1	2	1	1
325	500	0	365	1	2	1	1
475	1000	0	1825	0	2	1	1
250	500	0	730	1	2	1	1
150	500	0	1825	1	2	1	1
500	1000	0	1825	1	2	1	1
600	1000	0	1825	1	2	1	1
650	1000	0	1825	1	2	1	1
9000	10000	0	1825	0	2	1	1
700	1000	0	1825	0	2	1	1
550	1000	0	1825	1	2	1	1
750	1000	0	1825	0	2	1	1
300	500	0	1825	0	2	1	1
450	1000	0	1825	1	2	1	1
275	500	0	1825	1	2	1	1
8000	10000	0	1825	1	2	1	1
9000	10000	0	365	1	3	1	1
70	100	0	1825	0	3	1	1
9500	10000	0	1825	1	3	1	1
200	500	0	1825	1	3	1	1
950	1000	0	1825	1	3	1	1
40	100	0	1825	1	3	1	1
75	100	0	1825	0	3	1	1
80	100	0	1825	0	3	1	1
475	500	0	1825	1	3	1	1
65	100	0	1825	1	3	1	1
85	100	0	730	0	3	1	1
95	100	0	180	0	3	1	1
60	100	0	1825	1	3	1	1
85	100	0	1825	1	3	1	1
90	100	0	1825	0	3	1	1
95	100	0	1825	0	3	1	1
90	100	0	730	0	3	1	1
95	100	0	730	0	3	1	1
95	100	0	365	0	3	1	1
90	100	0	365	0	3	1	1
80	100	0	730	1	3	1	1
95	100	0	90	1	3	1	1
95	100	0	30	1	3	1	1
70	100	0	1825	1	3	1	1
95	100	0	7	1	3	1	1
55	100	0	1825	1	3	1	1
95	100	0	21	1	3	1	1
95	100	0	14	1	3	1	1
75	100	0	1825	1	3	1	1
80	100	0	1825	1	3	1	1
9500	10000	0	1825	1	3	1	1
30	100	0	1825	1	3	1	1
40	100	0	1825	1	3	1	1
50	100	0	1825	1	3	1	1
65	100	0	1825	1	3	1	1
85	100	0	1825	1	3	1	1
90	100	0	1825	1	3	1	1
60	100	0	1825	1	3	1	1
95	100	0	1825	0	3	1	1
45	100	0	1825	1	3	1	1
9000	10000	0	365	0	4	1	1
375	10000	0	7	1	4	1	1
45	100	0	7	1	4	1	1
6000	10000	0	30	1	4	1	1
45	100	0	180	0	4	1	1
225	500	0	365	1	4	1	1
6000	10000	0	1825	0	4	1	1
250	500	0	365	0	4	1	1
250	500	0	90	1	4	1	1
7000	10000	0	180	1	4	1	1
400	1000	0	730	1	4	1	1
8500	10000	0	365	1	4	1	1
425	1000	0	730	1	4	1	1
450	1000	0	1825	0	4	1	1
5500	10000	0	1825	1	4	1	1
8000	10000	0	730	1	4	1	1
6500	10000	0	1825	0	4	1	1
450	1000	0	730	1	4	1	1
375	1000	0	1825	1	4	1	1
425	1000	0	1825	0	4	1	1
8000	10000	0	1825	0	4	1	1
550	1000	0	730	1	4	1	1
600	1000	0	730	1	4	1	1
650	1000	0	1825	0	4	1	1
9000	10000	0	365	1	4	1	1
7500	10000	0	1825	0	4	1	1
475	1000	0	1825	0	4	1	1
400	1000	0	1825	0	4	1	1
6000	10000	0	1825	0	4	1	1
7500	10000	0	730	1	4	1	1
350	1000	0	1825	0	4	1	1
500	1000	0	730	1	4	1	1
650	1000	0	730	1	4	1	1
500	1000	0	1825	0	4	1	1
700	1000	0	730	1	4	1	1
450	1000	0	1825	0	4	1	1
325	1000	0	1825	0	4	1	1
300	1000	0	1825	0	4	1	1
475	1000	0	730	1	4	1	1
275	1000	0	1825	1	4	1	1
8000	10000	0	365	1	5	1	1
950	1000	0	1825	0	5	1	1
9500	10000	0	1825	1	5	1	1
50	100	0	365	1	5	1	1
475	500	0	1825	0	5	1	1
450	500	0	1825	0	5	1	1
85	100	0	60	1	5	1	1
50	100	0	1825	1	5	1	1
9000	10000	0	1825	1	5	1	1
400	500	0	1825	0	5	1	1
900	1000	0	1825	1	5	1	1
425	500	0	1825	1	5	1	1
60	100	0	1825	1	5	1	1
950	1000	0	1825	1	5	1	1
95	100	0	1825	0	5	1	1
85	100	0	1825	0	5	1	1
75	100	0	1825	1	5	1	1
90	100	0	1825	1	5	1	1
9500	10000	0	1825	1	5	1	1
80	100	0	1825	1	5	1	1
95	100	0	365	0	5	1	1
90	100	0	365	0	5	1	1
85	100	0	365	0	5	1	1
55	100	0	1825	1	5	1	1
70	100	0	1825	1	5	1	1
65	100	0	1825	1	5	1	1
95	100	0	1825	0	5	1	1
85	100	0	1825	1	5	1	1
75	100	0	1825	1	5	1	1
90	100	0	1825	0	5	1	1
225	500	0	1825	1	5	1	1
